day_of_week,hour,raw_trips,raw_tips,raw_fares,raw_tip_ratio,strict_trips,strict_tips,strict_fares,strict_tip_ratio,evasion_gap,evasion_rate_pct
2,9,30542,80208.08,624883.16,0.12835692355671738,19167,72990.26,363310.88,0.20090303929240982,11375,37.243795429244976
2,10,30955,91093.78,634489.16,0.14357026997908048,20632,85040.91,419869.05,0.20254150669119336,10323,33.34840898077855
2,11,32448,98883.19,679311.22,0.1455638992684384,21836,92162.74,449870.01,0.20486526763586665,10612,32.70463510848126
2,12,34560,104174.23,722322.37,0.14422124293340105,22853,96689.5,471708.88,0.20497706127559015,11707,33.8744212962963
2,13,36382,112777.86,788384.46,0.14304931885643712,23569,104567.83,503098.54,0.2078476117223477,12813,35.217964927711506
2,14,38469,123005.14,858236.34,0.1433231550181154,25051,114317.63,547665.63,0.2087361772182052,13418,34.88003327354493
2,15,41294,131147.46,936266.96,0.14007485642770093,26441,120873.42,578154.13,0.20906781380252357,14853,35.96890589431879
2,16,42120,145157.68,991572.64,0.14639137279947537,26871,134253.42,598430.83,0.22434241898934254,15249,36.2037037037037
2,17,45822,142978.67,1077825.59,0.13265473683919493,27708,130503.95,577481.47,0.22598811698668012,18114,39.531229540395444
2,18,47946,139845.5,1073139.78,0.13031433798866351,28172,126484.84,540579.05,0.2339802846595701,19774,41.24223084303175
2,19,45362,127854.07,948003.17,0.13486671146890786,26344,118956.45,500069.98,0.23787960637029243,19018,41.92495921696574
2,20,42583,119165.54,917080.39,0.12994012444208952,25334,111533.27,490583.63,0.22734812818764458,17249,40.50677500410962
2,21,45065,124511.37,1045805.26,0.11905789228866567,26228,115002.04,496719.2,0.23152324291068271,18837,41.79962276711417
2,22,41244,109456.33,1003115.22,0.10911640838227936,22728,99913.37,436530.75,0.2288804855098982,18516,44.893802734943264
2,23,31893,78278.24,731266.02,0.10704482070697063,16023,72186.03,318554.2,0.22660517425292148,15870,49.76013545292071
3,0,15868,35492.63,327329.12,0.10843101890843075,7237,32854.15,144477.86,0.22739920151087512,8631,54.39248802621628
3,1,7917,15584.02,150888.22,0.10328188641896631,3501,14304.18,60577.4,0.2361306361778485,4416,55.77870405456612
3,2,4313,6764.84,79002.5,0.08562817632353406,1645,5981.48,24533.85,0.24380519160262248,2668,61.85949455135636
3,3,2813,5072.46,57838.32,0.08770068010274157,1011,4224.46,19282.17,0.21908633727427984,1802,64.05972271596161
3,4,3045,7027.69,86471.09,0.08127213384265192,982,5107.97,30808.17,0.16579920196493333,2063,67.7504105090312
3,5,4636,11012.82,130218.72,0.08457171134841442,1894,8464.57,58731.07,0.1441242258995111,2742,59.1458153580673
3,6,9968,20066.38,250570.2,0.08008286699695336,4492,16489.58,110221.61,0.14960387531991232,5476,54.93579454253612
3,7,19021,42370.56,450901.5,0.09396854967215677,9805,35652.52,192380.85,0.18532260357514793,9216,48.45171126649493
3,8,24829,60167.23,570108.37,0.10553647896802498,13825,51298.23,261433.67,0.19621891090003823,11004,44.319142937693826
3,9,24513,65774.81,518156.28,0.12694010000226186,15119,59138.67,296144.84,0.19969508838985678,9394,38.32252274303431
3,10,24746,76110.44,527922.39,0.1441697519213004,16459,70359.18,346596.06,0.20300051881720754,8287,33.48824052372101
3,11,25616,82689.12,559570.51,0.14777247643018213,17178,76868.21,373945.12,0.20556013673878137,8438,32.94034978138664
3,12,27074,86086.89,597759.02,0.1440160451280183,17910,79727.29,391147.17,0.20382939239979672,9164,33.84797222427421
3,13,27987,95180.5,641051.12,0.14847567850751123,18524,88383.56,423075.76,0.20890717066844008,9463,33.81212705899168
3,14,30824,105941.82,732188.53,0.14469199619939416,20066,97999.31,468822.02,0.20903307826710016,10758,34.9013755515183
3,15,33280,113680.24,808816.33,0.14055136596957682,21461,103576.42,499189.12,0.20748933790864674,11819,35.51382211538461
3,16,33416,122711.37,838686.42,0.14631376766539272,21354,111547.75,496738.3,0.2245603972957189,12062,36.09648072779507
